DBN,Cohort,Total Enrolled,Total Present,Average Attendance
02M411,2008,70082.0,67743.0,0.9666248109357609
02M412,2006,80240.0,76192.0,0.9495513459621137
02M412,2007,88066.0,83545.0,0.9486635023732201
02M412,2008,95075.0,88911.0,0.9351669734420195
02M413,2006,128227.0,119597.0,0.9326974818096033
02M413,2007,125629.0,114924.0,0.9147887828447253
02M413,2008,123551.0,111902.0,0.9057150488462254
02M414,2006,64027.0,58496.0,0.9136145688537648
02M414,2007,72398.0,66657.0,0.920702229343352
02M414,2008,74247.0,66913.0,0.901221598179051
02M416,2006,81494.0,77695.0,0.953383071146342
02M416,2007,82229.0,78550.0,0.9552590935071569
02M416,2008,84556.0,80960.0,0.9574719712379961
02M418,2006,87519.0,83981.0,0.9595744923959368
02M418,2007,93287.0,88732.0,0.9511721890509932
02M418,2008,95569.0,90940.0,0.9515637916060647
02M419,2006,71309.0,57392.0,0.8048352942826291
02M419,2007,75347.0,58085.0,0.7708999694745643
02M419,2008,72591.0,56813.0,0.7826452315025278
02M420,2006,243975.0,215952.0,0.8851398708884107
02M420,2007,256136.0,231232.0,0.9027704032232876
02M420,2008,271101.0,244547.0,0.9020512650266874
02M425,2006,114641.0,95085.0,0.8294153051700526
02M425,2007,114996.0,96052.0,0.8352638352638353
02M425,2008,112651.0,92474.0,0.8208892952570328
02M429,2006,57157.0,44601.0,0.7803243697184947
02M429,2007,63012.0,47909.0,0.760315495461182
02M429,2008,63007.0,47110.0,0.7476947005888235
02M439,2006,68056.0,62723.0,0.9216380627718349
02M439,2007,67231.0,63599.0,0.9459773021374068
02M439,2008,67530.0,63125.0,0.9347697319709759
02M440,2006,310332.0,243663.0,0.7851687869765284
02M440,2007,284808.0,219717.0,0.7714565602089829
02M440,2008,245124.0,192687.0,0.7860796984383414
02M442,2006,28960.0,27469.0,0.9485151933701658
02M442,2007,29536.0,27729.0,0.9388204225352113
02M442,2008,26841.0,25413.0,0.9467978093215603
02M449,2006,62701.0,52404.0,0.8357761439211496
02M449,2007,68632.0,57973.0,0.8446934374635738
02M449,2008,70873.0,60023.0,0.8469092602260381
02M459,2006,56819.0,52125.0,0.9173867896302293
02M459,2007,54741.0,50653.0,0.9253210573427595
02M459,2008,51599.0,47436.0,0.9193201418632144
02M460,2006,426006.0,312311.0,0.7331140875950104
02M460,2007,397629.0,281043.0,0.7067970394513479
02M460,2008,268501.0,196554.0,0.7320419663241478
02M473,2006,38787.0,14947.0,0.3853610745868461
02M473,2007,38403.0,15604.0,0.4063224227273911
02M473,2008,28026.0,13210.0,0.47134803396845787
02M475,2006,513834.0,499387.0,0.9718839158171705
02M475,2007,532303.0,516859.0,0.9709864494470255
02M475,2008,546616.0,529139.0,0.9680269146896542
02M489,2006,130882.0,114564.0,0.8753228098592626
02M489,2007,132527.0,117071.0,0.8833747085499558
02M489,2008,135113.0,118485.0,0.8769326415666886
02M500,2006,33616.0,26565.0,0.7902486910994765
02M500,2007,32178.0,24706.0,0.7677916588973833
02M500,2008,30346.0,23322.0,0.7685362156462137
02M519,2006,91304.0,81723.0,0.8950648383422413
02M519,2007,77093.0,70917.0,0.919888965275706
02M519,2008,73009.0,68035.0,0.9318714131134518
02M520,2006,476753.0,393421.0,0.8252092802772085
02M520,2007,462207.0,379779.0,0.8216643192335902
02M520,2008,453338.0,371886.0,0.8203283201496455
02M529,2006,115360.0,94114.0,0.8158287101248266
02M529,2007,117984.0,96778.0,0.8202637645782479
02M529,2008,118702.0,98598.0,0.8306346986571415
02M531,2006,31529.0,28589.0,0.9067525135589457
02M531,2007,36339.0,33189.0,0.913316271774127
02M531,2008,35438.0,31913.0,0.9005305039787799
02M535,2007,307.0,307.0,1.0
02M542,2006,70553.0,61604.0,0.8731591852933256
02M542,2007,77954.0,67404.0,0.8646637760730688
02M542,2008,79727.0,67542.0,0.8471659538174019
02M543,2006,64428.0,55388.0,0.8596883342646054
02M543,2007,68558.0,59682.0,0.8705329793751276
02M543,2008,67417.0,57021.0,0.8457955708500823
02M544,2007,64154.0,47093.0,0.7340617888206503
02M544,2008,67382.0,45171.0,0.6703719094120092
02M545,2006,46090.0,43942.0,0.953395530483836
02M545,2007,49689.0,46841.0,0.9426834913159854
02M545,2008,49778.0,47721.0,0.9586765237655189
02M550,2007,72606.0,65627.0,0.9038784673442967
02M550,2008,67417.0,60378.0,0.8955901330524941
02M560,2007,125281.0,104385.0,0.8332069507746586
